exp_id,treatment,hmx_exists,hma_exists,hmt_exists,cultivars_in_hmx,pdate_code,pdate,filex_edate_code,filex_edate,obs_emergence_date,obs_anthesis_date,obs_anthesis_dap_from_filea_filex,obs_emergence_dap_from_filea_filex,pdate_matches_filex_obs_emergence,pdate_population,emergence_population,row_spacing_cm,evaluate_adap_measured,evaluate_adap_simulated,filea_dap_minus_evaluate_adapm
CNKU2101,1,True,False,True,IB0002,21147,2021-05-27,-99,,,,,,False,2.0,2.5,25,,103.0,
CNKU2101,2,True,False,True,IB0002,21147,2021-05-27,-99,,,,,,False,25.0,25.,25,,103.0,
CNKU2101,3,True,False,True,IB0002,21147,2021-05-27,-99,,,,,,False,50.0,50.,25,,103.0,
CNKU2101,4,True,False,True,IB0002,21147,2021-05-27,-99,,,,,,False,100.,100.,25,,103.0,
YUBA2101,1,True,True,False,IB0008,21132,2021-05-12,21137,2021-05-17,2021-05-17,2021-08-04,84.0,5.0,True,2,1.44,100,84.0,92.0,0.0
YUBA2101,2,True,True,False,IB0008,21132,2021-05-12,21137,2021-05-17,,,,,False,25,5.23,50,,92.0,
YUBA2101,3,True,True,False,IB0008,21132,2021-05-12,21137,2021-05-17,,,,,False,50,6.76,30,,92.0,
YUBA2101,4,True,True,False,IB0008,21132,2021-05-12,21137,2021-05-17,,,,,False,100,10.36,20,,92.0,
YUFE2101,1,True,True,True,IB0008,21118,2021-04-28,21127,2021-05-07,2021-05-07,2021-09-28,153.0,9.0,True,2,1.6,100,153.0,128.0,0.0
YUFE2101,2,True,True,True,IB0008,21118,2021-04-28,21127,2021-05-07,2021-05-07,2021-09-28,153.0,9.0,True,25,9.7,50,153.0,128.0,0.0
YUFE2101,3,True,True,True,IB0008,21118,2021-04-28,21127,2021-05-07,2021-05-07,2021-09-28,153.0,9.0,True,50,18.1,30,153.0,128.0,0.0
YUFE2101,4,True,True,True,IB0008,21118,2021-04-28,21127,2021-05-07,,,,,False,100,37.7,20,,128.0,
YUFE2201,1,True,True,True,IB0008,22127,2022-05-07,22140,2022-05-20,2022-05-20,2022-10-04,150.0,13.0,True,2,1,100,150.0,127.0,0.0
YUFE2201,2,True,True,True,IB0008,22127,2022-05-07,22140,2022-05-20,2022-05-20,2022-10-04,150.0,13.0,True,25,12,50,150.0,127.0,0.0
YUFE2201,3,True,True,True,IB0008,22127,2022-05-07,22140,2022-05-20,2022-05-20,2022-10-04,150.0,13.0,True,50,25,30,150.0,127.0,0.0
YUFE2201,4,True,True,True,IB0008,22127,2022-05-07,22140,2022-05-20,2022-05-20,2022-10-04,150.0,13.0,True,100,50,20,150.0,127.0,0.0
YUKU2101,1,True,True,True,IB0008,21147,2021-05-27,21154,2021-06-03,2021-06-03,2021-08-10,75.0,7.0,True,2,1.5,100,75.0,104.0,0.0
YUKU2101,2,True,True,True,IB0008,21147,2021-05-27,21154,2021-06-03,2021-06-03,2021-08-10,75.0,7.0,True,25,20,50,75.0,104.0,0.0
YUKU2101,3,True,True,True,IB0008,21147,2021-05-27,21154,2021-06-03,2021-06-03,2021-08-10,75.0,7.0,True,50,40,30,75.0,104.0,0.0
YUKU2101,4,True,True,True,IB0008,21147,2021-05-27,21154,2021-06-03,2021-06-03,2021-08-10,75.0,7.0,True,100,80,20,75.0,104.0,0.0
YUKU2201,1,True,True,True,IB0008,22139,2022-05-19,22145,2022-05-25,2022-05-25,2022-08-10,83.0,6.0,True,2,1,100,83.0,107.0,0.0
YUKU2201,2,True,True,True,IB0008,22139,2022-05-19,22145,2022-05-25,2022-05-25,2022-08-10,83.0,6.0,True,25,12,50,83.0,107.0,0.0
YUKU2201,3,True,True,True,IB0008,22139,2022-05-19,22145,2022-05-25,2022-05-25,2022-08-10,83.0,6.0,True,50,25,30,83.0,107.0,0.0
YUKU2201,4,True,True,True,IB0008,22139,2022-05-19,22145,2022-05-25,2022-05-25,2022-08-10,83.0,6.0,True,100,50,20,83.0,107.0,0.0
