exp_id,treatment,PDATE,EDATE,PPOP,PPOE,PLRS,PLDP,PLME,PLDS,fertilizer_rows,irrigation_rows
CNKU2101,1,21147,-99,2.0,2.5,25,2.5,S,R,1,2
CNKU2101,2,21147,-99,25.0,25.,25,2.5,S,R,1,2
CNKU2101,3,21147,-99,50.0,50.,25,2.5,S,R,1,2
CNKU2101,4,21147,-99,100.,100.,25,2.5,S,R,1,2
YUBA2101,1,21132,21137,2,1.44,100,2.5,S,R,2,1
YUBA2101,2,21132,21137,25,5.23,50,2.5,S,R,2,1
YUBA2101,3,21132,21137,50,6.76,30,2.5,S,R,2,1
YUBA2101,4,21132,21137,100,10.36,20,2.5,S,R,2,1
YUFE2101,1,21118,21127,2,1.6,100,2.5,S,R,1,1
YUFE2101,2,21118,21127,25,9.7,50,2.5,S,R,1,1
YUFE2101,3,21118,21127,50,18.1,30,2.5,S,R,1,1
YUFE2101,4,21118,21127,100,37.7,20,2.5,S,R,1,1
YUFE2201,1,22127,22140,2,1,100,2.5,S,R,1,1
YUFE2201,2,22127,22140,25,12,50,2.5,S,R,1,1
YUFE2201,3,22127,22140,50,25,30,2.5,S,R,1,1
YUFE2201,4,22127,22140,100,50,20,2.5,S,R,1,1
YUKU2101,1,21147,21154,2,1.5,100,2.5,S,R,1,1
YUKU2101,2,21147,21154,25,20,50,2.5,S,R,1,1
YUKU2101,3,21147,21154,50,40,30,2.5,S,R,1,1
YUKU2101,4,21147,21154,100,80,20,2.5,S,R,1,1
YUKU2201,1,22139,22145,2,1,100,1,S,R,1,3
YUKU2201,2,22139,22145,25,12,50,1,S,R,1,3
YUKU2201,3,22139,22145,50,25,30,1,S,R,1,3
YUKU2201,4,22139,22145,100,50,20,1,S,R,1,3
