exp_id,kind,variable,n
CNKU2101,timeseries,CHTD,30
CNKU2101,timeseries,CNAD,18
CNKU2101,timeseries,CWAD,38
CNKU2101,timeseries,CWID,30
CNKU2101,timeseries,G#AD,18
CNKU2101,timeseries,GN%D,10
CNKU2101,timeseries,GNAD,18
CNKU2101,timeseries,GWAD,18
CNKU2101,timeseries,GWGD,18
CNKU2101,timeseries,HIAD,18
CNKU2101,timeseries,HIPD,24
CNKU2101,timeseries,L#SD,42
CNKU2101,timeseries,LAID,37
CNKU2101,timeseries,LI%N,30
CNKU2101,timeseries,LN%D,16
CNKU2101,timeseries,LNAD,18
CNKU2101,timeseries,LWAD,37
CNKU2101,timeseries,NFXD,19
CNKU2101,timeseries,NWAD,19
CNKU2101,timeseries,P#AD,24
CNKU2101,timeseries,PWAD,24
CNKU2101,timeseries,SH%D,18
CNKU2101,timeseries,SHAD,24
CNKU2101,timeseries,SHND,12
CNKU2101,timeseries,SLAD,37
CNKU2101,timeseries,SN%D,16
CNKU2101,timeseries,SNAD,18
CNKU2101,timeseries,SNHD,18
CNKU2101,timeseries,SWAD,38
CNKU2101,timeseries,VNAD,18
YUBA2101,phenology,ADAT,1
YUBA2101,scalar,EDATE,1
YUFE2101,phenology,ADAT,3
YUFE2101,phenology,EDAT,3
YUFE2101,scalar,SWAH,3
YUFE2101,timeseries,CHTD,18
YUFE2101,timeseries,CWAD,18
YUFE2101,timeseries,LWAD,18
YUFE2101,timeseries,SWAD,18
YUFE2201,phenology,ADAT,4
YUFE2201,phenology,EDAT,4
YUFE2201,scalar,SWAH,4
YUFE2201,timeseries,CHTD,84
YUFE2201,timeseries,CWAD,24
YUFE2201,timeseries,LWAD,24
YUFE2201,timeseries,SWAD,24
YUKU2101,phenology,ADAT,4
YUKU2101,phenology,EDAT,4
YUKU2101,scalar,SWAH,3
YUKU2101,timeseries,CHTD,27
YUKU2101,timeseries,CWAD,27
YUKU2101,timeseries,GWAD,27
YUKU2101,timeseries,LWAD,27
YUKU2101,timeseries,SWAD,27
YUKU2201,phenology,ADAT,4
YUKU2201,phenology,EDAT,4
YUKU2201,scalar,SWAH,4
YUKU2201,timeseries,CHTD,96
YUKU2201,timeseries,CWAD,36
YUKU2201,timeseries,GWAD,12
YUKU2201,timeseries,LWAD,36
YUKU2201,timeseries,SWAD,36
