stage,parameter
growth,SD-PM__IB0002
growth,LFMAX__IB0002
growth,LFMAX__IB0007
growth,LFMAX__IB0008
growth,SLAVR__IB0001
growth,SLAVR__IB0002
growth,SLAVR__IB0007
growth,SLAVR__IB0008
growth,SIZLF__IB0001
growth,SIZLF__IB0007
growth,XFRT__IB0001
growth,WTPSD__IB0001
growth,WTPSD__IB0002
growth,WTPSD__IB0007
growth,WTPSD__IB0008
growth,SFDUR__IB0008
growth,TRIFL__IB0002
growth,TRIFL__IB0008
growth,EM-V1__IB0001
growth,EM-V1__IB0002
growth,PL-EM__IB0002
growth,TRIFL__IB0001
growth,TRIFL__IB0007
growth,RHGHT__IB0001
growth,RHGHT__IB0002
growth,RHGHT__IB0007
growth,FL-LF__IB0002
growth,PODUR__IB0001
growth,PODUR__IB0008
growth,SFDUR__IB0001
growth,SFDUR__IB0007
growth,XFRT__IB0002
growth,XFRT__IB0007
growth,XFRT__IB0008
growth,FL-SD__IB0001
growth,FL-SD__IB0002
